,period,value,time,start_at
1890,7,0.55694100,1712048400.0,2024-04-02 09:00:00+00:00
1891,7,0.55667566,1712052000.0,2024-04-02 10:00:00+00:00
1892,7,0.55698579,1712055600.0,2024-04-02 11:00:00+00:00
1893,7,0.55772937,1712059200.0,2024-04-02 12:00:00+00:00
1894,7,0.55420655,1712062800.0,2024-04-02 13:00:00+00:00
1895,7,0.55613709,1712066400.0,2024-04-02 14:00:00+00:00
1896,7,0.55879846,1712070000.0,2024-04-02 15:00:00+00:00
1897,7,0.56648321,1712073600.0,2024-04-02 16:00:00+00:00
1898,7,0.56655862,1712077200.0,2024-04-02 17:00:00+00:00
1899,7,0.56672533,1712080800.0,2024-04-02 18:00:00+00:00
1900,7,0.56636657,1712084400.0,2024-04-02 19:00:00+00:00
1901,7,0.56538116,1712088000.0,2024-04-02 20:00:00+00:00
1902,7,0.56492363,1712091600.0,2024-04-02 21:00:00+00:00
1903,7,0.56351122,1712095200.0,2024-04-02 22:00:00+00:00
1904,7,0.56729722,1712098800.0,2024-04-02 23:00:00+00:00
1905,7,0.56544267,1712102400.0,2024-04-03 00:00:00+00:00
1906,7,0.56520166,1712106000.0,2024-04-03 01:00:00+00:00
1907,7,0.56637899,1712109600.0,2024-04-03 02:00:00+00:00
1908,7,0.56631560,1712113200.0,2024-04-03 03:00:00+00:00
1909,7,0.56636018,1712116800.0,2024-04-03 04:00:00+00:00
1910,7,0.56461391,1712120400.0,2024-04-03 05:00:00+00:00
1911,7,0.56615234,1712124000.0,2024-04-03 06:00:00+00:00
1912,7,0.56205140,1712127600.0,2024-04-03 07:00:00+00:00
1913,7,0.56149867,1712131200.0,2024-04-03 08:00:00+00:00
1914,7,0.56608081,1712134800.0,2024-04-03 09:00:00+00:00
1915,7,0.56572874,1712138400.0,2024-04-03 10:00:00+00:00
1916,7,0.56858564,1712142000.0,2024-04-03 11:00:00+00:00
1917,7,0.56855601,1712145600.0,2024-04-03 12:00:00+00:00
1918,7,0.56810917,1712149200.0,2024-04-03 13:00:00+00:00
1919,7,0.56798873,1712152800.0,2024-04-03 14:00:00+00:00
1920,7,0.57022249,1712156400.0,2024-04-03 15:00:00+00:00
1921,7,0.57297662,1712160000.0,2024-04-03 16:00:00+00:00
1922,7,0.57259441,1712163600.0,2024-04-03 17:00:00+00:00
1923,7,0.56962188,1712167200.0,2024-04-03 18:00:00+00:00
1924,7,0.56658359,1712170800.0,2024-04-03 19:00:00+00:00
1925,7,0.56594842,1712174400.0,2024-04-03 20:00:00+00:00
1926,7,0.56615469,1712178000.0,2024-04-03 21:00:00+00:00
1927,7,0.56646709,1712181600.0,2024-04-03 22:00:00+00:00
1928,7,0.56593368,1712185200.0,2024-04-03 23:00:00+00:00
1929,7,0.56532769,1712188800.0,2024-04-04 00:00:00+00:00
1930,7,0.56552039,1712192400.0,2024-04-04 01:00:00+00:00
1931,7,0.56459380,1712196000.0,2024-04-04 02:00:00+00:00
1932,7,0.57199657,1712199600.0,2024-04-04 03:00:00+00:00
1933,7,0.57019718,1712203200.0,2024-04-04 04:00:00+00:00
1934,7,0.56979008,1712206800.0,2024-04-04 05:00:00+00:00
1935,7,0.56316006,1712210400.0,2024-04-04 06:00:00+00:00
1936,7,0.56428271,1712214000.0,2024-04-04 07:00:00+00:00
1937,7,0.56501972,1712217600.0,2024-04-04 08:00:00+00:00
1938,7,0.56518227,1712221200.0,2024-04-04 09:00:00+00:00
1939,7,0.56524633,1712224800.0,2024-04-04 10:00:00+00:00
1940,7,0.56506246,1712228400.0,2024-04-04 11:00:00+00:00
1941,7,0.56504595,1712232000.0,2024-04-04 12:00:00+00:00
1942,7,0.56506857,1712235600.0,2024-04-04 13:00:00+00:00
