start_at,open,high,low,close,volume,turnover,date,wclprice,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,bbvi,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,ema_sma,sma_ema,ema_sma_500,sma_ema_500,rsi_buy,dmi_diff,macd_diff,bol_diff,aroon,adline,mfi,roc,atr,log_returns,volatility,close_kalman,kalman_macd,kalman_macdsignal,kalman_macdhist,pandl,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,prediction,profit_ma,entry_type,max_pandl,min_pandl,exit_reason,exit_time,pred_v1,pred_v2,pred_v3,pred_v4,pred_v5,pred_v6,pred_v7,pred_v8,pred_v9,pred_v10,pred_v11,pred_v12,pred_v13,pred_v14,pred_v15,pred_v16,pred_v17,pred_v18,pred_target,order_id
2024-06-24 00:00:00,63179.9,63329.9,58320.0,60257.1,221288.65,13499372619.4446,2024-06-24 00:00:00,60541.02,23.89,68382.05,63039.3,65710.67,71053.43,60367.92,73724.81,57696.54,16.26,-1282.78,-605.41,-677.37,11.04,39.0,24.82,22.53,96387.72285714287,12379.04,5169.6500000000015,1295.84,-14.98,64524.28,62726.03,10512.409999999996,-173.09999999999854,2185.010000000002,3983.260000000002,-46.11,-1798.25,1798.25,0.0,1798.25,-6.109999999999999,-27.96,-677.37,10685.509999999995,-100.0,5221777.76,24.29,-13.0,2064.9,-0.047588824381947545,2.02,65611.0,-118.15,258.82,-376.98,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2024-06-25 00:00:00,60257.1,62401.3,60217.9,61764.4,127690.308,7836122653.6901,2024-06-25 00:00:00,61537.0,30.42,68027.41,62598.96,65313.18,70741.63,59884.73,73455.86,57170.5,16.62,-1445.05,-773.34,-671.71,10.21,36.06,27.04,23.18,95532.14285714286,-855.58,3776.1800000000003,274.04,-0.2,63966.35,62250.42,9204.630000000005,-1652.2699999999968,713.4199999999983,2429.3499999999985,-39.58,-1715.9300000000003,1715.9300000000003,0.0,1715.9300000000003,0.4200000000000017,-25.85,-671.7099999999999,10856.900000000001,-85.71,5274973.28,33.81,-8.85,2073.36,0.016317468107996898,2.02,65245.09,-245.94,157.87,-403.82,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2024-06-26 00:00:00,61764.4,62467.9,60666.0,60838.5,88063.807,5405114406.7352,2024-06-26 00:00:00,61202.72,29.5,67644.84,62198.58,64921.71,70367.97,59475.45,73091.09,56752.32,16.77,-1582.38,-935.15,-647.23,9.8,33.8,29.04,23.93,91163.77278571429,-4368.37,3718.989999999998,-276.17,1.02,63398.39,61831.34,9165.25,-1727.270000000004,628.6199999999953,2195.6699999999983,-40.5,-1567.050000000003,1567.050000000003,0.0,1567.050000000003,-0.5,-23.999999999999996,-647.2300000000001,10892.520000000004,-85.71,5203770.57,23.31,-10.43,2053.97,-0.0054469869492549975,2.01,64825.92,-376.7,50.95,-427.66,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2024-06-27 00:00:00,60838.5,62380.0,60564.8,61659.5,79074.717,4857794998.8199,2024-06-27 00:00:00,61565.95,31.9,67317.48,61886.74,64602.11,70032.85,59171.37,72748.22,56456.0,16.81,-1642.97,-1076.71,-566.25,9.17,32.01,30.92,24.93,89229.7665,-1934.0,3036.1600000000035,-404.7,0.75,62992.6,61725.18,8466.900000000009,-2394.5799999999945,159.2300000000032,1426.6500000000015,-38.1,-1267.4199999999983,1267.4199999999983,0.0,1267.4199999999983,1.8999999999999986,-22.839999999999996,-566.26,10861.480000000003,-78.57,5220071.67,30.1,-8.18,2036.91,0.0059173249961284894,2.01,64524.71,-498.88,-59.01,-439.87,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2024-06-28 00:00:00,61659.5,62218.0,60011.5,60406.1,85662.775,5239767566.2333,2024-06-28 00:00:00,60760.42,29.5,66976.45,61496.02,64236.24,69716.66,58755.81,72456.87,56015.6,17.06,-1735.98,-1208.57,-527.41,8.47,31.47,32.83,25.95,88084.5877142857,-1145.17,3475.8199999999997,-235.74,-0.79,62515.13,61339.27,8956.240000000005,-2004.6100000000006,578.8499999999985,1754.7099999999991,-40.5,-1175.8600000000006,1175.8600000000006,0.0,1175.8600000000006,-0.5,-23.0,-527.4100000000001,10960.850000000006,-71.42,5165047.95,30.68,-8.08,2049.03,-0.013170367825150794,2.01,64132.93,-620.17,-171.24,-448.93,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2024-06-29 00:00:00,60406.1,61198.9,60378.1,60939.9,32466.206,1976842754.4846,2024-06-29 00:00:00,60864.2,30.23,66585.68,61244.49,63915.09,69256.28,58573.9,71926.87,55903.3,16.71,-1780.78,-1323.01,-457.77,8.22,30.53,34.59,26.69,88562.87299999999,478.28,3050.8899999999994,-594.66,-0.01,62036.71,61149.24,8392.080000000002,-2290.2999999999956,285.0400000000009,1172.510000000002,-39.769999999999996,-887.4700000000012,887.4700000000012,0.0,887.4700000000012,0.23000000000000043,-22.310000000000002,-457.77,10682.379999999997,-50.0,5177025.0,28.4,-7.99,1961.3,0.0017065627861699584,2.01,63829.19,-732.37,-283.46,-448.9,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2024-06-30 00:00:00,60939.9,63041.3,60673.0,62749.5,69847.886,4317138430.664,2024-06-30 00:00:00,62303.32,39.54,66209.76,61313.41,63761.59,68657.93,58865.24,71106.1,56417.07,15.35,-1680.79,-1394.57,-286.22,14.13,27.94,34.47,26.76,91473.79078571429,2910.91,1458.2699999999968,-1350.07,8.25,61830.96,61610.87,6354.609999999993,-3438.0800000000017,-692.4499999999971,-472.3600000000006,-30.46,-220.0899999999965,220.0899999999965,0.0,0.0,9.54,-13.81,-286.22,9792.689999999995,-50.0,5229660.87,30.53,-6.39,1990.37,0.0233695619709651,2.01,63726.48,-820.11,-390.79,-429.31,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2024-07-01 00:00:00,62749.5,63845.0,62464.4,62860.1,88928.106,5615123059.8395,2024-07-01 00:00:00,63007.39,43.51,66028.02,61351.5,63689.76,68366.28,59013.24,70704.54,56674.98,14.68,-1527.13,-1421.08,-106.05,16.36,26.52,33.7,26.74,90213.17978571428,-1260.61,682.3700000000026,-1038.0,9.55,61697.08,62169.48,5358.889999999999,-3994.1500000000015,-837.9099999999962,-1310.3099999999977,-26.490000000000002,472.40000000000146,-472.40000000000146,0.0,0.0,13.509999999999998,-10.16,-106.05000000000018,9353.04,-50.0,5191708.94,38.18,-4.98,1946.81,0.011237306196328302,2.0,63644.07,-886.09,-489.85,-396.23,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2024-07-02 00:00:00,62860.1,63259.0,61779.6,62092.6,69452.838,4334558609.1908,2024-07-02 00:00:00,62305.95,40.65,65695.36,61420.57,63557.97,67832.76,59283.17,69970.16,57145.78,13.45,-1445.29,-1425.92,-19.37,15.46,27.61,33.3,26.88,84648.92607142856,-5564.25,1252.020000000004,-1095.09,0.24,61565.32,62224.06,5526.809999999998,-3022.779999999999,-81.88999999999942,-740.6299999999974,-29.35,658.739999999998,-658.739999999998,658.739999999998,0.0,10.649999999999999,-12.149999999999999,-19.36999999999989,8549.589999999997,-42.85,5151644.69,40.91,-4.46,1913.43,-0.011195094248527227,2.0,63496.49,-939.45,-579.77,-359.68,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2024-07-03 00:00:00,62092.6,62250.0,59350.2,60184.8,132930.045,8038594455.8795,2024-07-03 00:00:00,60492.45,34.35,65363.48,61168.54,63266.01,67460.95,59071.07,69558.43,56973.6,13.26,-1509.37,-1442.61,-66.75,13.84,33.48,33.89,27.16,89375.76614285713,4726.84,2773.560000000005,-693.23,-8.38,61559.93,61531.42,6968.5,-1421.3799999999974,1038.9700000000012,1067.4800000000032,-35.65,-28.510000000002037,28.510000000002037,0.0,0.0,4.350000000000001,-19.639999999999997,-66.75999999999999,8389.879999999997,-28.57,5095232.62,38.95,-7.01,1983.88,-0.029538362989990553,2.0,63181.46,-995.69,-662.96,-332.73,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
