,serial,date,cash_in,cash_out,amount,total_assets,startup_flag
0,374853,2024-10-19 07:30:00,0.0,1000.0,0.0,1000.0,1
1,374854,2024-10-19 08:00:00,991.53175836,0.0,991.53175836,991.53175836,0
2,374855,2024-10-19 08:30:00,0.0,991.53175836,0.0,991.53175836,0
3,374856,2024-10-19 09:45:00,976.94663022,0.0,976.94663022,976.94663022,0
