,serial,init_equity,equity,leverage,contract,qty,entry_price,losscut_price,exit_price,limit_price,pl,pred,tradetype,stage,losscut,losscut_rate,entrytime,exittime,direction,startup_flag
0,187888,1000.0,991.53175836,1.0,USDT,0.015,67489.8,74238.78,67739.9,134156.46666666667,-8.46824164,0,SHORT_EXIT,0,normal,0.1,2024-10-19 07:30:00,2024-10-19 08:00:00,lower,1
1,187889,991.53175836,976.94663022,3.0,USDT,0.044,67489.8,71989.12000000001,67746.9,90024.61269000001,-14.58512814,0,SHORT_EXIT,0,losscut,0.2,2024-10-19 08:30:00,2024-10-19 09:45:00,lower,0
